0.5,1,100000.0,10,1,1.659424530839825
0.5,1,100000.0,10,2,1.6882453170761849
0.5,1,100000.0,10,5,1.7721360074558905
0.5,1,100000.0,10,10,1.8190953610945593
0.7,1,100000.0,10,1,1.5991913353016876
0.7,1,100000.0,10,2,1.5681408764432432
0.7,1,100000.0,10,5,1.5843858590319795
0.7,1,100000.0,10,10,1.6001072602195783
0.9,1,100000.0,10,1,1.57711893407039
0.9,1,100000.0,10,2,1.4893010295801248
0.9,1,100000.0,10,5,1.4669028811037692
0.9,1,100000.0,10,10,1.4713686893784037
0.95,1,100000.0,10,1,1.5777298674221594
0.95,1,100000.0,10,2,1.4804559409243052
0.95,1,100000.0,10,5,1.4510881831733715
0.95,1,100000.0,10,10,1.4512929153290135
0.99,1,100000.0,10,1,1.5827317329702146
0.99,1,100000.0,10,2,1.472589066848301
0.99,1,100000.0,10,5,1.4371441410214991
0.99,1,100000.0,10,10,1.435426325525576